nbr,inv,emp,gouv,delegation,annee_doa,feuille
17,2291964,20,قبلي,دوز الجنوبية,2016,SQL Results
6,500062,6,قبلي,دوز الشما لية,2016,SQL Results
1,60000,1,بن عروس,رادس,2016,SQL Results
6,1193000,7,بنزرت,راس الجبل,2016,SQL Results
6,531040,6,قبلي,رجيم معتوق,2016,SQL Results
12,2123534,22,تطاوين,رمادة,2016,SQL Results
2,76400,1,المنستير,زرمدين,2016,SQL Results
8,638938,10,زغوان,زغوان,2016,SQL Results
6,363425,7,صفاقس,ساقية الدائر,2016,SQL Results
17,788056,17,الكاف,ساقية سيدي يوسف,2016,SQL Results
6,684606,6,سيدي بوزيد,سبا لة أولاد عسكر,2016,SQL Results
53,5641156,84,القصرين,سبيبة,2016,SQL Results
143,18516769,215,القصرين,سبيطلة,2016,SQL Results
9,579000,9,بنزرت,سجنان,2016,SQL Results
1,4000,1,أريانة,سكرة,2016,SQL Results
2,1520000,4,سليانة,سليانة الجنوبية,2016,SQL Results
14,4607298,20,نابل,سليمان,2016,SQL Results
1,115000,2,سوسة,سوسة المدينة,2016,SQL Results
13,1029709,14,قبلي,سوق الأحد,2016,SQL Results
17,1927476,18,سيدي بوزيد,سوق الجديد,2016,SQL Results
3,277000,3,سوسة,سيدي الهاني,2016,SQL Results
7,3401000,19,سليانة,سيدي بورويس,2016,SQL Results
23,2577375,24,سيدي بوزيد,سيدي بوزيد الشرقية,2016,SQL Results
38,3068541,39,سيدي بوزيد,سيدي بوزيد الغربية,2016,SQL Results
1,90000,1,سوسة,سيدي بوعلي,2016,SQL Results
13,2585400,22,أريانة,سيدي ثابت,2016,SQL Results
5,213500,6,تــونس,سيدي حسين,2016,SQL Results
10,1979000,18,المهدية,سيدي علوان,2016,SQL Results
54,12155995,57,سيدي بوزيد,سيدي علي بن عون,2016,SQL Results
10,448000,10,القيروان,سيدي علي نصرالله,2016,SQL Results
19,3062000,27,القيروان,سيدي عمر بوحجلة,2016,SQL Results
49,15300496,92,قفصة,سيدي عيش,2016,SQL Results
14,855420,15,مدنين,سيدي مخلوف,2016,SQL Results
7,2113000,13,المهدية,شربان,2016,SQL Results
5,1625564,7,صفاقس,صفاقس الجنوبية,2016,SQL Results
22,46622342,91,صفاقس,صفاقس المدينة,2016,SQL Results
9,628100,35,المنستير,صيادة لمطة بوحجر,2016,SQL Results
11,1439460,16,منــوبة,طبربة,2016,SQL Results
7,973936,7,جندوبة,طبرقة,2016,SQL Results
68,60061800,171,المنستير,طبلبة,2016,SQL Results
3,301913,4,صفاقس,طينة,2016,SQL Results
5,285829,5,صفاقس,عقارب,2016,SQL Results
7,426328,7,باجة,عمدون,2016,SQL Results
2,122300,2,جندوبة,عين دراهم,2016,SQL Results
24,39738000,39,بنزرت,غار الملح,2016,SQL Results
16,745895,16,جندوبة,غارالدماء,2016,SQL Results
10,1480747,15,تطاوين,غمراسن,2016,SQL Results
14,1120781,16,قابس,غنوش,2016,SQL Results
8,1567700,11,جندوبة,فرنانة,2016,SQL Results
32,2949818,55,القصرين,فريانة,2016,SQL Results
169,12616799,221,القصرين,فوسانة,2016,SQL Results
1,1724000,17,بن عروس,فوشانة,2016,SQL Results
21,8406802,28,قابس,قابس الجنوبية,2016,SQL Results
1,63014,1,قابس,قابس الغربية,2016,SQL Results
7,948483,28,قابس,قابس المدينة,2016,SQL Results
13,24432489,19,باجة,قبلاط,2016,SQL Results
18,6375496,22,قبلي,قبلي الجنوبية,2016,SQL Results
9,667185,14,قبلي,قبلي الشما لية,2016,SQL Results
17,725407,18,نابل,قربة,2016,SQL Results
10,479532,14,صفاقس,قرقنة,2016,SQL Results
18,4995609,10,نابل,قرمبا لية,2016,SQL Results
16,39073000,28,المهدية,قصور الساف,2016,SQL Results
2,95700,2,المنستير,قصيبة المديوني,2016,SQL Results
11,4339000,6,سليانة,قعفور,2016,SQL Results
17,2067873,30,قفصة,قفصة الجنوبية,2016,SQL Results
61,5958273,101,قفصة,قفصة الشما لية,2016,SQL Results
16,1602880,16,أريانة,قلعة الأندلس,2016,SQL Results
8,5221372,22,الكاف,قلعة الخصبة,2016,SQL Results
6,176558,6,الكاف,قلعة سنان,2016,SQL Results
15,16558027,50,نابل,قليبية,2016,SQL Results
2,308000,2,سليانة,كسرى,2016,SQL Results
3,211000,3,سوسة,كندار,2016,SQL Results
30,8269976,42,القصرين,ماجل با لعباس,2016,SQL Results
6,490239,8,قابس,مارث,2016,SQL Results
28,6216000,31,بنزرت,ماطر,2016,SQL Results
29,16786891,43,باجة,مجاز الباب,2016,SQL Results
27,1591039,27,مدنين,مدنين الجنوبية,2016,SQL Results
13,1494636,13,مدنين,مدنين الشما لية,2016,SQL Results
53,35568000,226,بن عروس,مرناق,2016,SQL Results
7,8774000,8,سوسة,مساكن,2016,SQL Results
2,153258,7,قابس,مطماطة,2016,SQL Results
4,291003,4,قابس,مطماطة الجديدة,2016,SQL Results
1,50000,1,سليانة,مكثر,2016,SQL Results
10,969000,15,المهدية,ملولش,2016,SQL Results
5,409530,5,قابس,منزل الحبيب,2016,SQL Results
9,1203000,9,بنزرت,منزل بورقيبة,2016,SQL Results
9,985357,13,نابل,منزل بوزلفة,2016,SQL Results
37,5209301,49,سيدي بوزيد,منزل بوزيان,2016,SQL Results
19,45229784,34,نابل,منزل تميم,2016,SQL Results
5,195000,5,بنزرت,منزل جميل,2016,SQL Results
19,2180345,24,صفاقس,منزل شاكر,2016,SQL Results
6,85233,3,مدنين,ميدون,2016,SQL Results
1,26149,1,نابل,نابل,2016,SQL Results
21,1279783,21,الكاف,نبر,2016,SQL Results
7,768327,8,باجة,نفزة,2016,SQL Results
10,2819143,16,توزر,نفطة,2016,SQL Results
17,11618000,20,المهدية,هبيرة,2016,SQL Results
1,72000,2,سوسة,هرقلة,2016,SQL Results
1,92000,1,منــوبة,واد الليل,2016,SQL Results
10,293237,10,جندوبة,واد مليز,2016,SQL Results
