nbr_adi,mt_investissement_declaree,gouvernorat,delegation,secteur_activite,feuille
38,7928057.0,صفاقس,بئر علي بن خليفة,الفلاحي,SQL Results
17,1583126.0,الكاف,الكاف الغربية,الفلاحي,SQL Results
7,616179.0,قبلي,دوز الشما لية,الخدمات,SQL Results
38,4258039.0,سيدي بوزيد,أولاد حفوز,الفلاحي,SQL Results
16,4207010.0,باجة,قبلاط,الفلاحي,SQL Results
2,120000.0,بن عروس,بن عروس,الخدمات,SQL Results
24,2946893.0,سليانة,مكثر,الفلاحي,SQL Results
31,2543509.0,القصرين,العيون,الفلاحي,SQL Results
9,1099325.0,القصرين,سبيطلة,الخدمات,SQL Results
2,40745.0,تــونس,قرطاج,الصيد البحري,SQL Results
8,557877.0,قبلي,الفوار,الخدمات,SQL Results
18,1193918.0,القيروان,حفوز,الفلاحي,SQL Results
26,2633954.0,قفصة,الرديف,الفلاحي,SQL Results
9,443069.0,قابس,مارث,الصيد البحري,SQL Results
19,1587525.0,قابس,مطماطة الجديدة,الفلاحي,SQL Results
22,4100060.0,نابل,قربة,الفلاحي,SQL Results
6,897588.0,الكاف,تاجروين,الخدمات,SQL Results
2,495539.0,منــوبة,البطان,الخدمات,SQL Results
3,2276778.0,تــونس,حلق الوادي,الصيد البحري,SQL Results
8,866329.0,بنزرت,الغزالة,الفلاحي,SQL Results
9,587602.0,باجة,عمدون,الفلاحي,SQL Results
4,288910.0,سيدي بوزيد,سيدي علي بن عون,الخدمات,SQL Results
14,5709800.0,المهدية,الشابة,الصيد البحري,SQL Results
1,20000.0,بن عروس,بومهل البساتين,الخدمات,SQL Results
35,2503614.0,جندوبة,واد مليز,الفلاحي,SQL Results
2,525857.0,نابل,قربة,الخدمات,SQL Results
10,2835509.0,القيروان,القيروان الشما لية,الخدمات,SQL Results
13,1097556.0,سيدي بوزيد,جلمة,الخدمات,SQL Results
2,150001.0,القصرين,حيدرة,الفلاحي,SQL Results
7,1548450.0,صفاقس,ساقية الدائر,الفلاحي,SQL Results
4,1360380.0,بنزرت,منزل جميل,تربية الأحياء المائية,SQL Results
2,156000.0,تطاوين,تطاوين الجنوبية,الخدمات,SQL Results
1,137000.0,سليانة,سليانة الجنوبية,الخدمات,SQL Results
7,2005807.0,باجة,تبرسق,الخدمات,SQL Results
1,2250000.0,سليانة,كسرى,التحويل الأولي,SQL Results
3,3570247.0,المهدية,ملولش,التحويل الأولي,SQL Results
7,581988.0,جندوبة,فرنانة,الخدمات,SQL Results
1,72383.0,نابل,الحمامات,الخدمات,SQL Results
10,758186.0,صفاقس,جبنيانة,الخدمات,SQL Results
3,133150.0,قفصة,زانوش,التحويل الأولي,SQL Results
1,211577.0,الكاف,قلعة سنان,الخدمات,SQL Results
2,1530000.0,نابل,الحمامات,التحويل الأولي,SQL Results
6,528438.0,باجة,نفزة,الفلاحي,SQL Results
6,425650.0,نابل,الهوارية,الخدمات,SQL Results
2,400000.0,نابل,بني خلاد,التحويل الأولي,SQL Results
2,3550000.0,القيروان,السبيخة,التحويل الأولي,SQL Results
1,1482529.0,سوسة,مساكن,التحويل الأولي,SQL Results
1,40000.0,أريانة,المنيهلة,الخدمات,SQL Results
4,2139000.0,بن عروس,المحمدية,الفلاحي,SQL Results
1,229878.0,نابل,نابل,التحويل الأولي,SQL Results
1,160000.0,صفاقس,المحرس,الصيد البحري,SQL Results
1,1400000.0,سوسة,القلعة الصغرى,التحويل الأولي,SQL Results
1,603835.0,سوسة,القصيبة الزاوية الثريات,الخدمات,SQL Results
2,230390.0,قابس,المطوية,الخدمات,SQL Results
2,129551.0,القصرين,تا لة,الخدمات,SQL Results
1,6472.0,زغوان,بئر مشارقة,الخدمات,SQL Results
1,5000.0,بنزرت,منزل بورقيبة,الخدمات,SQL Results
1,75000.0,نابل,سليمان,التحويل الأولي,SQL Results
1,,تطاوين,تطاوين الجنوبية,التحويل الأولي,SQL Results
20,16239112.0,منــوبة,برج العامري,الفلاحي,SQL Results
56,16397411.0,زغوان,بئر مشارقة,الفلاحي,SQL Results
4,4204000.0,المهدية,الجم,التحويل الأولي,SQL Results
61,6253209.0,سيدي بوزيد,سيدي بوزيد الغربية,الفلاحي,SQL Results
17,1929086.0,سليانة,الكريب,الفلاحي,SQL Results
9,6182787.0,المنستير,طبلبة,تربية الأحياء المائية,SQL Results
11,1957000.0,المهدية,سيدي علوان,الفلاحي,SQL Results
66,16342020.0,قابس,الحامة,الفلاحي,SQL Results
29,2537650.0,قفصة,السند,الفلاحي,SQL Results
19,1943764.0,جندوبة,بلطة بوعوان,الخدمات,SQL Results
17,5780279.0,نابل,قليبية,الصيد البحري,SQL Results
1,11000.0,بنزرت,بنزرت الشما لية,الخدمات,SQL Results
2,139589.0,سيدي بوزيد,سيدي علي بن عون,تربية الأحياء المائية,SQL Results
8,653318.0,القيروان,حاجب العيون,الخدمات,SQL Results
39,5981245.0,سيدي بوزيد,جلمة,الفلاحي,SQL Results
23,3226655.0,سيدي بوزيد,منزل بوزيان,الفلاحي,SQL Results
9,646451.0,قفصة,السند,الخدمات,SQL Results
12,3511636.0,منــوبة,المرناقية,الفلاحي,SQL Results
2,600000.0,بن عروس,مرناق,التحويل الأولي,SQL Results
2,103000.0,سوسة,القصيبة الزاوية الثريات,الفلاحي,SQL Results
1,1100000.0,المنستير,زرمدين,التحويل الأولي,SQL Results
1,108000.0,المنستير,صيادة لمطة بوحجر,الفلاحي,SQL Results
17,1683876.0,سيدي بوزيد,السعيدة,الفلاحي,SQL Results
9,6359212.0,زغوان,صواف,الفلاحي,SQL Results
3,156802.0,توزر,الحامة,الفلاحي,SQL Results
4,3490000.0,المهدية,قصور الساف,التحويل الأولي,SQL Results
8,379203.0,الكاف,قلعة سنان,الفلاحي,SQL Results
3,191927.0,قبلي,سوق الأحد,التحويل الأولي,SQL Results
10,1331195.0,قابس,مارث,الخدمات,SQL Results
26,5354472.0,صفاقس,الحنشة,الفلاحي,SQL Results
4,699230.0,بنزرت,أوتيك,الخدمات,SQL Results
17,2297356.0,بنزرت,منزل بورقيبة,الفلاحي,SQL Results
7,702387.0,القيروان,القيروان الجنوبية,الخدمات,SQL Results
15,8592317.0,نابل,بوعرقوب,الفلاحي,SQL Results
3,159160.0,صفاقس,طينة,الخدمات,SQL Results
7,514159.0,القيروان,حفوز,الخدمات,SQL Results
3,218963.0,قفصة,القطار,الخدمات,SQL Results
5,184093.0,القيروان,سيدي علي نصرالله,الخدمات,SQL Results
1,108361.0,مدنين,بني خداش,الخدمات,SQL Results
3,229350.0,قابس,غنوش,الفلاحي,SQL Results
1,1400000.0,المهدية,أولاد الشامخ,التحويل الأولي,SQL Results
5,316818.0,قفصة,قفصة الجنوبية,الخدمات,SQL Results
3,321929.0,قفصة,القصر,الخدمات,SQL Results
1,1357000.0,المنستير,الساحلين,الخدمات,SQL Results
6,10883672.0,نابل,قربة,التحويل الأولي,SQL Results
1,59079.0,قفصة,المتلوي,الخدمات,SQL Results
1,51000.0,جندوبة,عين دراهم,الفلاحي,SQL Results
4,224000.0,المهدية,المهدية,الفلاحي,SQL Results
2,2040000.0,المنستير,البقا لطة,التحويل الأولي,SQL Results
1,69000.0,سوسة,سوسة الرياض,الخدمات,SQL Results
1,2212000.0,صفاقس,ساقية الزيت,التحويل الأولي,SQL Results
2,204000.0,تــونس,سيدي حسين,الخدمات,SQL Results
2,1116503.0,قابس,مطماطة الجديدة,الخدمات,SQL Results
1,83155.0,سليانة,العروسة,الخدمات,SQL Results
2,3784739.0,سوسة,هرقلة,تربية الأحياء المائية,SQL Results
1,83000.0,زغوان,زغوان,التحويل الأولي,SQL Results
2,473455.0,بنزرت,راس الجبل,الصيد البحري,SQL Results
2,159030.0,منــوبة,دوارهيشر,الخدمات,SQL Results
4,335207.0,جندوبة,واد مليز,الخدمات,SQL Results
2,217497.0,القصرين,فوسانة,الخدمات,SQL Results
1,71876.0,القصرين,ماجل با لعباس,الخدمات,SQL Results
