annee,gouvernorat,effectif_menages_communal,effectif_menages_non_communal,menages_communal_branches,menages_non_communal_branches,taux_branchement_comm,taux_branchement_non_comm,feuille
2022,Bizerte,107.23044900293375,54.707227797100266,106.96237288042644,30.129338698379303,0.9975000000000003,0.5507378076279766,Feuil1
2022,Nord Est,296.61707875835845,157.16819504191938,296.2331542603231,87.15468101418413,0.9987056561286273,0.5545312840866978,Feuil1
2022,Beja,36.88449635324148,44.21183023676132,36.86568526010132,18.10609280676506,0.9994899999999999,0.4095304969236532,Feuil1
2022,Jendouba,36.351180764203406,79.465135442838,36.332641662013664,36.31556689737697,0.9994900000000001,0.457,Feuil1
2022,Le Kef,43.41382672268791,30.458314763379942,43.10316644691536,9.092754771486929,0.9928442088794214,0.2985311184195639,Feuil1
2022,Siliana,28.514949641663964,34.88776344228663,28.50034687773585,12.42004378545404,0.9994878909445178,0.356,Feuil1
2022,Nord Ouest,145.16445348179676,189.0230438852659,144.80184024676618,75.934458261083,0.9975020521461472,0.4017206405118206,Feuil1
2022,Kairouan,57.12953099367564,99.5880721558767,56.818914915325266,32.864063811439316,0.9945629506675846,0.33,Feuil1
2022,Kasserine,53.52955605094036,61.7234638546755,52.3837055194181,7.162047265149218,0.9785940587582712,0.1160344351705838,Feuil1
2022,Sidi Bouzid,31.591330105347318,79.16500457376598,31.57153586038962,24.480986014391394,0.9993734279344463,0.30924,Feuil1
2022,Centre Ouest,142.2504171499633,240.47654058431817,140.774156295133,64.50709709097993,0.9896220982376873,0.2682469438983044,Feuil1
2022,Sousse,165.9533533680407,32.58150808881704,165.699,25.40140331480904,0.9984673201060505,0.7796263833326847,Feuil1
2022,Monastir,149.65057161094762,0.0,149.57424981942603,,0.9994899999999999,,Feuil1
2022,Mahdia,58.9484514177731,60.106795524345905,58.917072586065565,39.77201776180634,0.999467690313268,0.6616892052695924,Feuil1
2022,Sfax,173.61678297188817,89.75040534979699,173.5265022447428,52.14498550823205,0.99948,0.581,Feuil1
2022,Centre Est,548.1691593686495,182.43870896295994,547.7168246502345,117.31840658484742,0.9991748264004199,0.6430565489732022,Feuil1
2022,Gafsa,68.9188327311786,20.91953729523021,68.561,6.32313479791206,0.9948079107408226,0.3022597827416467,Feuil1
2022,Tozeur,21.218225975556233,8.116306884717918,21.207192498048943,7.467002333940485,0.9994799999999999,0.92,Feuil1
2022,Kebili,21.67489981666135,18.489927708994795,21.66362886875669,17.63939103438103,0.9994800000000003,0.9539999999999998,Feuil1
2022,Sud Ouest,111.81195852339619,47.52577188894293,111.43182136680564,31.429528166233574,0.9966002101956651,0.6613154698397605,Feuil1
2022,Gabes,72.63378844510197,25.726984204664916,72.59426020352203,19.752277642243236,0.9994557871422358,0.7677649850098511,Feuil1
2022,Medenine,112.25313918455173,27.623393271288,112.00719428734605,17.126451534624877,0.9978090154182564,0.619998106909851,Feuil1
2022,Tataouine,20.628551450895824,11.455943415712968,20.587294347994032,9.29260306108973,0.998,0.81116,Feuil1
2022,Sud Est,205.51547908054954,64.80632089166588,205.18874883886213,46.17133223795784,0.9984101915673255,0.7124510634563039,Feuil1
2022,Total,2217.441688869086,948.6005187763062,2213.6107787348305,479.74945489691754,0.9982723739012008,0.505744457651988,Feuil1
2023,Tunis,313.81496764152257,,313.6486457086726,,0.9994700000000001,,Feuil1
2023,Ariana,173.65384404648117,22.72174607144394,173.53228635564864,21.494771783585964,0.9993000000000001,0.946,Feuil1
2023,Ben Arous,193.82984051629796,18.511562746912496,193.73098729763467,15.160969889721333,0.9994900000000001,0.819,Feuil1
2023,Manouba,89.93477504029323,26.259497908757623,89.88800895727228,20.876300837462313,0.9994799999999999,0.7950000000000002,Feuil1
2023,Grand Tunis,771.2334272445948,67.49280672711406,770.7999283192281,57.532042510769614,0.9994379147608844,0.8524173952845425,Feuil1
2023,Nabeul,167.4663538236553,75.4903003022388,167.376877146813,46.577515286481336,0.9994657035589577,0.617,Feuil1
2023,Zaghouan,22.948574589120145,27.51338838786167,22.921585546308492,13.34399336811291,0.9988239338043919,0.485,Feuil1
2023,Bizerte,107.60519471000386,54.89841695049184,107.38998432058385,30.852910326176417,0.998,0.562,Feuil1
2023,Nord Est,298.0201231227793,157.9021056405923,297.68844701370534,90.77441898077066,0.9988870680758114,0.5748778245388708,Feuil1
2023,Beja,36.971419066438635,44.31602068585372,36.95256364271475,18.967256853545393,0.99949,0.428,Feuil1
2023,Jendouba,36.42509007942201,79.62670416277675,36.40651328348151,36.54865721071453,0.99949,0.4590000000000001,Feuil1
2023,Le Kef,43.50306499711654,30.52092263871998,43.19176615089222,9.125755868977274,0.9928442088794215,0.299,Feuil1
2023,Siliana,28.62114525079161,35.01769273679401,28.60648810313041,12.536333999772255,0.9994878909445178,0.358,Feuil1
2023,Nord Ouest,145.5207193937688,189.48134022414445,145.15733118021888,77.17800393300945,0.9975028421034217,0.4073118959455994,Feuil1
2023,Kairouan,57.487964808477855,100.2128931896006,57.175399907794,33.87195789808501,0.9945629506675846,0.338,Feuil1
2023,Kasserine,53.85261728855413,62.095976912764826,52.69985132716203,7.205271607438281,0.9785940587582712,0.1160344351705838,Feuil1
2023,Sidi Bouzid,31.758892423341322,79.58490052705922,31.73899318851593,24.610834638987793,0.9993734279344463,0.30924,Feuil1
2023,Centre Ouest,143.0994745203733,241.89377062942464,141.61424442347197,65.68806414451109,0.9896209954517348,0.271557485641677,Feuil1
2023,Sousse,166.7933375533358,32.746421608021286,166.53769675842307,25.529974245348914,0.9984673201060505,0.7796263833326847,Feuil1
2023,Monastir,150.42994709322016,,150.3532278202026,,0.9994899999999998,,Feuil1
2023,Mahdia,59.26321907706953,60.427748405718845,59.23167269148788,40.00316944458588,0.9994676903132679,0.662,Feuil1
2023,Sfax,174.28635803536275,90.09653912978236,174.19572912918437,52.52628231266311,0.99948,0.583,Feuil1
2023,Centre Est,550.7728617589883,183.27070914352248,550.3183263992979,118.0594260025979,0.9991747317428845,0.6441805488412418,Feuil1
2023,Gafsa,69.1977118713522,21.00418792471024,68.8384311747853,6.348721278787637,0.9948079107408226,0.3022597827416467,Feuil1
2023,Tozeur,21.311120369038697,8.15184045883679,21.300038586446796,7.499693222129848,0.9994799999999999,0.92,Feuil1
2023,Kebili,21.811127267289375,18.60613750629022,21.79978548111039,17.78746745601345,0.9994800000000003,0.9559999999999998,Feuil1
2023,Sud Ouest,112.31995950768027,47.76216588983725,111.93825524234249,31.635881956930934,0.9966016345891606,0.6623628005040358,Feuil1
2023,Gabes,73.02473887912329,25.86545936693014,72.9849978772904,19.86467279380235,0.9994557871422358,0.7680000000000001,Feuil1
2023,Medenine,112.77443093636025,27.751673399344025,112.52734389696377,17.205984971173766,0.9978090154182564,0.619998106909851,Feuil1
2023,Tataouine,20.647633489041016,11.466540512158065,20.606338222062934,9.301199001842136,0.998,0.81116,Feuil1
2023,Sud Est,206.44680330452456,65.08367327843223,206.1186799963171,46.371856766818254,0.9984106156987888,0.7124959983195234,Feuil1
2023,Total,2227.4133688527095,952.8865715330674,2223.6352125745816,487.2396942954079,0.99830379204374,0.5113302137435983,Feuil1
