date,nom_ar,nom_fr,unite,valeur
2026-03-31 15:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,6.7
2026-03-31 15:00:00,Température,Température,°C,15.5
2026-03-31 13:00:00,L'humidité du sol,L'humidité du sol,mV,551.4
2026-03-31 13:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,6.7
2026-03-31 13:00:00,Température,Température,°C,15.4
2026-03-31 11:00:00,L'humidité du sol,L'humidité du sol,mV,551.7
2026-03-31 11:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,6.7
2026-03-31 11:00:00,Température,Température,°C,15.4
2026-03-31 09:00:00,L'humidité du sol,L'humidité du sol,mV,551.2
2026-03-31 09:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,6.7
2026-03-31 09:00:00,Température,Température,°C,15.4
2026-03-31 07:00:00,L'humidité du sol,L'humidité du sol,mV,550.9
2026-03-31 07:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,6.7
2026-03-31 07:00:00,Température,Température,°C,15.6
2026-03-31 05:00:00,L'humidité du sol,L'humidité du sol,mV,550.9
2026-03-31 05:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,6.7
2026-03-31 05:00:00,Température,Température,°C,15.7
2026-03-31 03:00:00,L'humidité du sol,L'humidité du sol,mV,550.7
2026-03-31 03:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,6.7
2026-03-31 03:00:00,Température,Température,°C,15.7
2026-03-31 01:00:00,L'humidité du sol,L'humidité du sol,mV,550.2
2026-03-31 01:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,6.7
2026-03-31 01:00:00,Température,Température,°C,15.8
2026-03-30 23:00:00,L'humidité du sol,L'humidité du sol,mV,550.3
2026-03-30 23:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,6.7
2026-03-30 23:00:00,Température,Température,°C,15.7
2026-03-30 21:00:00,L'humidité du sol,L'humidité du sol,mV,550.0
2026-03-30 21:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,6.7
2026-03-30 21:00:00,Température,Température,°C,15.6
2026-03-30 19:00:00,L'humidité du sol,L'humidité du sol,mV,550.1
2026-03-30 19:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,6.7
2026-03-30 19:00:00,Température,Température,°C,15.5
2026-03-30 17:00:00,L'humidité du sol,L'humidité du sol,mV,550.1
2026-03-30 17:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,6.7
2026-03-30 17:00:00,Température,Température,°C,15.2
2026-03-30 15:00:00,L'humidité du sol,L'humidité du sol,mV,550.0
2026-03-30 15:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,6.7
2026-03-30 15:00:00,Température,Température,°C,14.9
